name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,date_of_launch,expected_lifetime (in years),comments,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes
"""Glonass 734 (Glonass 41-3, Cosmos 2458)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2009-12-14,7,,0,"""19,098""","""19,129""",0.000608,64.8,675.08
Raduga 1-M2 (Raduga 1-9),Russia,Ministry of Defense,Military,Communications,GEO,,2010-01-28,5,Military communication.,70,"""35,784""","""35,788""",0.0000474,0.01,1436.06
"""Glonass 731 (Glonass 42-1, Cosmos 2459)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2010-03-01,7,,0,"""19,119""","""19,146""",0.000529,64.76,675.85
"""Glonass 732 (Glonass 42-3, Cosmos 2460)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2010-03-01,7,,0,"""19,131""","""19,133""",0.0000392,64.77,675.81
"""Glonass 735 (Glonass 42-2, Cosmos 2461)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2010-03-01,7,,0,"""19,128""","""19,135""",0.000137,64.77,675.81
Parus-99 (Cosmos 2463),Russia,Ministry of Defense,Military,Navigation,LEO,Intermediate,2010-04-27,2,Normally part of a six-satellite constellation.,0,970,"""1,021""",0.00346,82.96,105.01
Ofeq 9,Israel,Ministry of Defense,Military,Remote Sensing/Reconnaissance,LEO,,2010-06-22,5,Reconnaissance satellite Mideast area; especially Syria and Iran.,0,343,589,0.018,141.78,93.91
"""Glonass 736 (Glonass 43-1, Cosmos 2464)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2010-09-02,7,,0,"""18,909""","""19,123""",0.00421,64.82,671.2
"""Glonass 737 (Glonass 43-2, Cosmos 2465)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2010-09-02,7,,0,"""19,116""","""19,380""",0.00515,64.84,680.43
"""Glonass 738 (Glonass 43-3, Cosmos 2466)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2010-09-02,7,,0,"""19,079""","""19,175""",0.00188,64.84,675.61
Strela 3 (Cosmos 2467),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,2010-09-08,3,Store-dump communications for Russian government and military.,0,"""1,496""","""1,506""",0.000635,82.46,116.01
Strela 3 (Cosmos 2468),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,2010-09-08,3,Store-dump communications for Russian government and military.,0,"""1,498""","""1,510""",0.000762,82.45,116.06
US-KS Oko 90 (Cosmos 2469),Russia,Ministry of Defense,Military,Early Warning,Elliptical,Molniya,2010-09-30,,Russian early-warning satellite; thought to possibly be the last of the US-KS series.,0,563,"""39,128""",0.736,62.79,704.3
"""Glonass 701 (Glonass-K, Cosmos 2471)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2011-02-26,10,"""Next generation. Will transmit more navigation signals. Five channels, four in L1 andL2 bands and one for civilian aplications in the L3 band.""",0,"""19,116""","""19,146""",64.8,64.77,675.78
Garpun-1 (Cosmos 2473),Russia,Ministry of Defense,Military,Communications,GEO,,2011-09-20,,Possible replacement for Potok/Geizer relay communications satellite.,79.9,"""35,782""","""35,790""",0.0000949,0.09,1436.1
"""Glonass 742 (Glonass-M, Cosmos 2474)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2011-10-02,10,,0,"""19,126""","""19,158""",64.8,64.82,676.2
"""Glonass 743 (Glonass 44-2, Cosmos 2476)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2011-11-04,10,,0,"""19,142""","""19,204""",64.8,64.8,677.46
"""Glonass 744 (Glonass 44-3, Cosmos 2477)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2011-11-04,10,,0,"""19,150""","""19,199""",64.8,64.8,677.5
"""Glonass 745 (Glonass 44-1, Cosmos 2475)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2011-11-04,10,,0,"""19,139""","""19,212""",64.8,64.78,677.54
"""Glonass 746 (Glonass-M, Cosmos 2478)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2011-11-27,10,,0,"""19,130""","""19,162""",64.8,64.82,676.38
US-KMO Oko 8 (Cosmos 2479) ,Russia,Ministry of Defense,Military,Early Warning,GEO,,2012-03-30,,Russian early-warning satellite in GEO.,80,"""35,696""","""35,904""",0.00247,2.26,1436.39
SPIRALE-A (SystÂème Pr_paratoire Infra-Rouge pour l'Alerte),France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Elliptical,,2009-02-11,,Demonstration program designed to collect infrared images of terrestrial backgrounds and analyze them to assess the detectability of ballistic missiles during their powered phase. It will pave the way for a future ballistic missile warning system.,0,608,"""35,717""",0.716,1.94,637.65
SPIRALE-B (SystÂème Pr_paratoire Infra-Rouge pour l'Alerte),France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Elliptical,,2009-02-11,,Demonstration program designed to collect infrared images of terrestrial backgrounds and analyze them to assess the detectability of ballistic missiles during their powered phase. It will pave the way for a future ballistic missile warning system.,0,627,"""35,697""",0.715,1.92,637.64
NATO 4-B (USA 98),United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,GEO,,1993-12-08,7,"""Turned over to British MOD for communications in 2011. Encrypted; X-band, UHF, C-band; NATO and British Ministry of Defence; secure military and diplomatic voice and data communications.""",-35.05,"""35,775""","""35,795""",0.000237,7.33,1436.04
Skynet 5A,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,GEO,,2007-03-11,15,New generation of Skynet communications.,-1.12,"""35,771""","""35,802""",0.000368,0.07,1436.1
Skynet 5B,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,GEO,,2007-11-14,15,,52.8,"""35,700""","""35,803""",0.00122,0.07,1436.1
XTAR-EUR,Spain,Ministry of Defense/XTAR,Military/Government,Communications,GEO,,2005-02-12,15,X-band; designed to be compatible with U.S. and NATO SATCOM systems. Contract with US Department of State.,29.03,"""35,778""","""35,792""",0.000166,0.1,1436.06
"""Paksat-1 (Palapa C1, Anatolia 1)""",Pakistan,Ministry of Information Technology and Telecommunications,Government/Commercial,Communications,GEO,,1996-01-31,15,"""30 C-band, 6 Ku-band; voice and TV communications to the Pakistan and Middle East; satellite not operational at full capacity.""",38.08,"""35,774""","""35,796""",0.000261,0.06,1436.05
VeneSat 1 (Simon Bolivar),Venezuela,Ministry of Science and Technology,Government,Communications,GEO,,2008-10-29,15,"""12 C-band, 14 Ku-band transponders.""",-65,"""35,777""","""35,796""",0.000225,0.21,1436.1
NFIRE (Near Field InfraRed Experiment),USA,Missile Defense Agency,Military,Technology Development,LEO,,2007-04-24,,Designed to carry a kill vehicle to intercept any missiles launched against the US; this satellite does not carry the kill vehicle.,0,489,498,0.000656,48.2,94.48
"""STSS ATRR (Space Tracking and Surveillance System Advanced Technology Risk Reduction Satellite, USA 205)""",USA,Missile Defense Agency (MDA),Military,Technology Development,LEO,Sun-Synchronous,2009-05-05,,Detect and track missile flights.,0,867,879,0.000828,98.93,102.41
STSS Demo-1 (Space Tracking and Surveillance System Demonstrator),USA,Missile Defense Agency (MDA),Military,Technology Development,LEO,,2009-09-25,2,Use sensors on the two spacecraft to track ballistic missiles.,0,"""1,347""","""1,352""",0.000324,58,112.68
STSS Demo-2 (Space Tracking and Surveillance System Demonstrator),USA,Missile Defense Agency (MDA),Military,Technology Development,LEO,,2009-09-25,2,,0,"""1,339""","""1,351""",0.000778,58,112.58
"""MBSat (Mobile Broadcasting Satellite, Han Byul)""",Japan/South Korea,Mobile Broadcasting Corporation (MBCO)/SK Telecom,Commercial,Communications,GEO,,2004-03-13,12,CD-quality radio and data to cellular phones and other portable devices in Japan and South Korea.,144.09,"""35,780""","""35,793""",0.000154,0.01,1436.1
"""MSAT 2 (AMSC-1, ACTel-1)""",USA/Canada,Mobile Satellite Ventures,Commercial,Communications,GEO,,1995-04-07,10,Wireless network for North America,-101.21,"""35,776""","""35,796""",0.000237,4.02,1436.09
MSAT 1 ,USA/Canada,Mobile Satellite Ventures,Commercial,Communications,GEO,,1996-04-20,12,Wireless network for North America,-106.43,"""35,763""","""35,809""",0.000546,1.37,1436.09
Mozhayets 4 (RS-22),Russia,Mozhaisky Space Engineering Academy,Civil,Technology Development,LEO,Sun-Synchronous,2003-09-27,,Training satellite; carries an amateur radio payload.,0,676,692,0.00113,98.2,98.44
"""EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)""",USA/Japan/Brazil,NASA - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,Government,Earth Observation,LEO,Sun-Synchronous,2002-05-04,6,Six-year chronology of the planet and its hydrological processes.,0,673,686,0.000922,98.1,98.34
EO-1 (Earth Observing 1),USA,NASA Earth Science Office,Government,Earth Observation/Research,LEO,Sun-Synchronous,2000-11-21,5,One-year technology validation/demonstration mission; image Earth's surface in numerous wavelength bands.,0,682,729,0.00332,98.2,98.88
Chandra X-Ray Observatory (CXO),USA,NASA Goddard Space Flight Center,Government,Astrophysics,Elliptical,Deep Highly Eccentric,1999-07-23,5,X-ray astronomy.,0,"""9,999""","""138,825""",0.797,28.5,3808.92
"""O/OREOS (Organism/Organic Exposure to Orbital Stresses, USA 219)""",USA,NASA-Ames Research Center/Stanford University,Civil/Government,Scientific Research,LEO,Sun-Synchronous,2010-11-20,0.5,"""Carries two biological experiments - one will test live microorganisms, the other inanimate organic samples, to see how they react to conditions in space for six months.""",0,624,654,0.00214,71.97,97.48
Jason 1 ,USA/France,NASA/Centre National d'Etudes Spatiales (CNES),Government,Earth Science,LEO,Intermediate,2001-12-07,5,Monitor sea surface level and wave heights.,0,"""1,320""","""1,328""",0.00052,66,112.11
Jason 2 ,USA/France,NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,Government,Earth Science,LEO,Intermediate,2008-06-20,5,Monitor sea surface level and wave heights.,0,"""1,332""","""1,346""",0.000908,66,112.44
Cloudsat,USA,NASA/Colorado State University,Government/Civil,Earth Science,LEO,Sun-Synchronous,2006-04-28,2,"""Joins Aqua, Parasol, Aura, and Calipso in A-Train; meteorological satellite, carries single radar to obtain the reflectivity of clouds.""",0,701,704,0.000212,98.25,98.83
Interstellar Boundary EXplorer (IBEX),USA,NASA Goddard Space Flight Center,Government,Space Physics,Elliptical,Deep Highly Eccentric,2008-10-19,,Monitor the boundary between heliosphere and interstellar medium.,0,"""7,000""","""320,000""",0.921,11,8 days
Fermi Gamma-Ray Space Telescope (formerly GLAST),USA,NASA/GSFC,Government,Astrophysics,LEO,,2008-06-11,,"""Will study the cosmos in the photon energy range of 8,000 electronvolts (8 keV) to greater than 300 billion electronvolts (300 GeV).""",0,542,562,0.00144,25.59,95.69
International Space Station (ISS [first element Zarya]),Multinational,NASA/Multinational,Government,Science,LEO,Intermediate,1998-11-20,30,Final size of a Boeing 747; first component.,0,393,399,0.000443,51.5,92.7
"""TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)""",USA,NASA/SES Americom (SES [Soci_t_ Europ_enne des Satellites (SES)]),Government/Commercial,Communications,GEO,,1993-01-13,10,"""Tracking and communications with space shuttle, other missions; leased access to C-band by Americom.""",-171.35,"""35,773""","""35,787""",0.000166,8.74,1435.7
Landsat 5,USA,NASA/US Geological Survey,Government,Earth Science,LEO,Sun-Synchronous,1984-03-01,3,Still imaging.,0,694,701,0.000495,98.2,98.72
Landsat 7 ,USA,NASA/US Geological Survey,Government,Earth Science,LEO,Sun-Synchronous,1999-04-15,15,Remote sensing; polar orbit.,0,687,698,0.000779,98.2,98.62
"""TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) """,USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,,1988-09-29,10,Backup; still partially operational.,84.41,"""35,693""","""35,878""",0.00219,11.53,1436.06
Wind (International Solar-Terrestrial Program),Multinational,National Aeronautics and Space Administration (NASA),Government,Astrophysics,Elliptical,Cislunar,1994-11-01,,"""Operates with """"Polar""""; provide complete plasma, energetic particle, and magnetic field input for magnetospheric and ionospheric studies.""",0,186,"""470,310""",0.973,28.7,19700.45
"""TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)""",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,,1995-07-13,10,"""Tracking and communications with space shuttle, other missions.""",-150.53,"""35,767""","""35,803""",0.000427,10.6,1436.04
"""TDRS-8 (Tracking and Data Relay Satellite, TDRS-H)""",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,,2000-06-30,11,"""Tracking and communications with space shuttle, other missions; not fully functional.""",88.76,"""35,768""","""35,808""",0.000474,0.9,1436.2
"""TDRS-9 (Tracking and Data Relay Satellite, TDRS-I)""",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,,2002-03-08,11,"""Tracking and communications with space shuttle, other missions. In storage.""",-62.43,"""35,768""","""35,809""",0.000486,0.02,1436.11
"""TDRS-10 (Tracking and Data Relay Satellite, TDRS-J)""",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,,2002-12-04,11,"""Tracking and communications with space shuttle, other missions.""",-40.75,"""35,768""","""35,802""",0.000403,1.64,1436.04
SDO (Solar Dynamics Observatory),USA,National Aeronautics and Space Administration (NASA),Government,Space Science,GEO,,2010-02-11,5,"""Carries three instruments to study the Sun at high time and spatial resolution: HMI, AIA, and EVE.""",-102,"""35,779""","""35,791""",0.000142,28,1436.03
"""Kiku-8 (ETS-8, Engineering Test Satellite 8)""",Japan,National Institute of Information and Communications Technology (NICT),Government,Technology Development,GEO,,2006-12-18,,Technology development for satellite communications; JAXA portion completed.,146.06,"""35,778""","""35,792""",0.000166,0.03,1436.04
NOAA-15 (NOAA-K),USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Science/Meteorology,LEO,Sun-Synchronous,1998-05-13,3,"""Polar-orbiting satellite; lonGalaxy-range weather forecasting; atmospheric and weather monitoring instruments; data stored on-board and transmitted over Fairbanks, AK and Wallops Island, VA.""",0,808,822,0.000974,98.7,101.2
NOAA-16 (NOAA-L),USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Science/Meteorology,LEO,Sun-Synchronous,2000-09-21,3,"""Polar-orbiting satellite; lonGalaxy-range weather forecasting; atmospheric and weather monitoring instruments; data stored on-board and transmitted over Fairbanks, AK and Wallops Island, VA.""",0,848,863,0.00104,98.7,102.04
NOAA-17 (NOAA-M),USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Meteorology,LEO,Sun-Synchronous,2002-06-24,3,"""Polar-orbiting satellite; lonGalaxy-range weather forecasting; atmospheric and weather monitoring instruments; data stored on-board and transmitted over Fairbanks, AK and Wallops Island, VA.""",0,806,821,0.00104,98.7,101.16
"""NOAA-18 (NOAA-N, COSPAS-SARSAT)""",USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Meteorology,LEO,Sun-Synchronous,2005-05-20,3,"""Polar-orbiting satellite; lonGalaxy-range weather forecasting; atmospheric and weather monitoring instruments; data stored on-board and transmitted over Fairbanks, AK and Wallops Island, VA.""",0,847,866,0.00131,98.7,102
"""NOAA-19 (NOAA-N Prime, COSPAS-SARSAT)""",USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Meteorology,LEO,Sun-Synchronous,2009-02-06,3,"""Polar-orbiting satellite; lonGalaxy-range weather forecasting; atmospheric and weather monitoring instruments; data stored on-board and transmitted over Fairbanks, AK and Wallops Island, VA.""",0,845,868,0.00159,98.7,102.7
NPP (National Polar-orbiting Operational Environmental Satellite System [NPOESS]),USA,National Oceanographic and Atmospheric Administration (NOAA)/NASA,Government,Meteorology,LEO,Polar,2011-10-28,,Continues key data records that are critical for climate change science.,0,817,823,0.000417,98.7,101.29
"""Orion/Mentor 1 (Advanced Orion 1, USA 110)""",USA,National Reconnaissance Office (NRO),Military,Surveillance,GEO,,1995-05-14,,ELINT.,127,"""35,786""","""35,786""",0,3,1436.1
